node_id,count
node-0,6277
node-1,6022
node-2,6300
node-3,6224
node-4,6242
node-5,6368
node-6,6129
node-7,6301
node-8,6296
node-9,6408
node-10,6174
node-11,6304
node-12,6379
node-13,6179
node-14,6255
node-15,6142
#algo,maglev
#nodes,16
#keys,100000
#zipf_s,0.000
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,1764410679411317000
#mean,6250.000
#max,6408
#std,98.825
#cv,0.01581
