node_id,count
node-0,3783
node-1,3501
node-2,5833
node-3,2169
node-4,23831
node-5,3301
node-6,4312
node-7,6851
node-8,8492
node-9,4101
node-10,4538
node-11,6752
node-12,5570
node-13,2324
node-14,12497
node-15,2145
#algo,jump
#nodes,16
#keys,100000
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean,6250.000
#max,23831
#std,5225.875
#cv,0.83614
