node_id,count
node-0,6934
node-1,6842
node-2,5035
node-3,2777
node-4,2571
node-5,10290
node-6,5127
node-7,12137
node-8,5030
node-9,22022
node-10,2586
node-11,6250
node-12,3608
node-13,3002
node-14,2898
node-15,2891
#algo,maglev
#nodes,16
#keys,100000
#zipf_s,1.200
#table_size,65537
#load_factor,1.250
#vnodes,100
#walk_threshold,8
#seed,42
#mean,6250.000
#max,22022
#std,4898.013
#cv,0.78368
